nome,local,pasta,tamanho,extensao
AULA-07-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/AULA-07-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS,2816097,.pptx
AULA-15-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/AULA-15-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS,2816096,.pptx
AULA-10-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/AULA-10-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS,2816094,.pptx
AULA-14-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/AULA-14-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS,2816082,.pptx
AULA-16-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/AULA-16-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS,2816077,.pptx
AULA-12-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/AULA-12-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS,2816072,.pptx
AULA-02-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/AULA-02-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS,2815963,.pptx
AULA-01-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/AULA-01-SLIDES.pptx,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS,2815961,.pptx
TESTE_SLIDE.pptx,sistema/TECNICO-INFORMATICA-INTERNET/TESTES DE FRONTEND/AULAS/TESTE_SLIDE.pptx,sistema/TECNICO-INFORMATICA-INTERNET/TESTES DE FRONTEND/AULAS,2815086,.pptx
tecnologias-digitais-e-seus-usos.pdf,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PESQUISAS/tecnologias-digitais-e-seus-usos.pdf,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PESQUISAS,2779420,.pdf
Competências digitais para o ensino fundamental.pdf,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PESQUISAS/Competências digitais para o ensino fundamental.pdf,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PESQUISAS,2609375,.pdf
SLIDE_INTERNET_WWW.pdf,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AULAS/AULA-03-05-08-2026/SLIDE_INTERNET_WWW.pdf,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AULAS/AULA-03-05-08-2026,2249309,.pdf
infografico-exemplo.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/infografico-exemplo.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS,2149622,.png
infografico-de-exemplo.png,sistema/GERADOR-INFOGRAFICOS/infografico-de-exemplo.png,sistema/GERADOR-INFOGRAFICOS,2149622,.png
HISTORIA_COMPUTACAO_AULA_01.pdf,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AULAS/AULA-01-03-08-2026/HISTORIA_COMPUTACAO_AULA_01.pdf,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AULAS/AULA-01-03-08-2026,2082133,.pdf
INFOGRAFICO-APRESENTACAO-PUBLICO.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/INFOGRAFICO-APRESENTACAO-PUBLICO.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS,2035886,.png
INFOGRAFICO-GOOGLE-SLIDE-x-POWERPOINT.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/INFOGRAFICO-GOOGLE-SLIDE-x-POWERPOINT.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS,2011759,.png
MICROSOFT-OUTLOOK-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/03-MICROSOFT-OFFICE/MICROSOFT-OUTLOOK-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/03-MICROSOFT-OFFICE,1957651,.png
GOOGLE-SHEETS-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/02-GOOGLE-WORKSPACE/GOOGLE-SHEETS-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/02-GOOGLE-WORKSPACE,1946635,.png
INFOGRAFICO-GOOGLE-Sheets-x-Excel.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/INFOGRAFICO-GOOGLE-Sheets-x-Excel.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS,1937355,.png
MICROSOFT-WORD-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/03-MICROSOFT-OFFICE/MICROSOFT-WORD-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/03-MICROSOFT-OFFICE,1932293,.png
MICROSOFT-ONEDRIVE-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/04-MICROSOFT-ECOSYSTEM/MICROSOFT-ONEDRIVE-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/04-MICROSOFT-ECOSYSTEM,1919203,.png
INFOGRAFICO-WORD-VERSAO-02.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/INFOGRAFICO-WORD-VERSAO-02.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS,1905920,.png
GOOGLE-GMAIL-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/02-GOOGLE-WORKSPACE/GOOGLE-GMAIL-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/02-GOOGLE-WORKSPACE,1899909,.png
GOOGLE-DOCS-X-MICROSOFT-WORD-PADRAO-EDITORIAL-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/01-COMPARATIVOS/GOOGLE-DOCS-X-MICROSOFT-WORD-PADRAO-EDITORIAL-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/01-COMPARATIVOS,1899606,.png
GOOGLE-DOCS-X-MICROSOFT-WORD-COMPLETO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/01-COMPARATIVOS/GOOGLE-DOCS-X-MICROSOFT-WORD-COMPLETO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/01-COMPARATIVOS,1878930,.png
MICROSOFT-EXCEL-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/03-MICROSOFT-OFFICE/MICROSOFT-EXCEL-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/03-MICROSOFT-OFFICE,1831141,.png
GOOGLE-DRIVE-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/02-GOOGLE-WORKSPACE/GOOGLE-DRIVE-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/02-GOOGLE-WORKSPACE,1803882,.png
GOOGLE-SHEETS-X-MICROSOFT-EXCEL-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/01-COMPARATIVOS/GOOGLE-SHEETS-X-MICROSOFT-EXCEL-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/01-COMPARATIVOS,1798101,.png
GOOGLE-MEET-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/02-GOOGLE-WORKSPACE/GOOGLE-MEET-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/02-GOOGLE-WORKSPACE,1792662,.png
APRESENTAÇÃO-PROFESSOR-GELVAZIO-CAMARGO.pdf,sistema/APRESENTAÇÃO-PROFESSOR-GELVAZIO-CAMARGO.pdf,sistema,1792232,.pdf
MICROSOFT-POWERPOINT-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/03-MICROSOFT-OFFICE/MICROSOFT-POWERPOINT-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/03-MICROSOFT-OFFICE,1765180,.png
GOOGLE-SLIDES-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/02-GOOGLE-WORKSPACE/GOOGLE-SLIDES-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/02-GOOGLE-WORKSPACE,1764457,.png
GOOGLE-DOCS-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/02-GOOGLE-WORKSPACE/GOOGLE-DOCS-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/02-GOOGLE-WORKSPACE,1755349,.png
GOOGLE-SLIDES-X-MICROSOFT-POWERPOINT-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/01-COMPARATIVOS/GOOGLE-SLIDES-X-MICROSOFT-POWERPOINT-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/01-COMPARATIVOS,1744367,.png
Apresentacao_Docentes disponibilidade e competencias-versao-pdf.pdf,sistema/FICHA-PRODUTO-MAIS-TECH/Apresentacao_Docentes disponibilidade e competencias-versao-pdf.pdf,sistema/FICHA-PRODUTO-MAIS-TECH,1737867,.pdf
GOOGLE-DOCS-X-MICROSOFT-WORD-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/01-COMPARATIVOS/GOOGLE-DOCS-X-MICROSOFT-WORD-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/01-COMPARATIVOS,1710349,.png
MICROSOFT-TEAMS-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/04-MICROSOFT-ECOSYSTEM/MICROSOFT-TEAMS-VERSAO-CODEX.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CODEX/04-MICROSOFT-ECOSYSTEM,1707433,.png
INFOGRAFICO-AULA-01.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/INFOGRAFICO-AULA-01.png,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS,1694708,.png
Apresentação_Docentes disponibilidade e competencias.ppsx,sistema/APRENDIZAGEM-INDUSTRIAL/Apresentação_Docentes disponibilidade e competencias.ppsx,sistema/APRENDIZAGEM-INDUSTRIAL,1455995,.ppsx
Apresentação_Docentes disponibilidade e competencias.ppsx,sistema/FICHA-PRODUTO-MAIS-TECH/Apresentação_Docentes disponibilidade e competencias.ppsx,sistema/FICHA-PRODUTO-MAIS-TECH,1455995,.ppsx
_ APRESENTACAO_DA_EQUIPE_.pptx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES_CRIADAS/ENTREGAS-PROVA-PRATICA/EQUIPE_07/_ APRESENTACAO_DA_EQUIPE_.pptx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES_CRIADAS/ENTREGAS-PROVA-PRATICA/EQUIPE_07,1437367,.pptx
acessos-turma-estudante-impressao.pdf,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/acessos-turma-estudante-impressao.pdf,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO,1436447,.pdf
GestaoControleMateriais_456h.docx,sistema/GESTAO_E_CONTROLE_MATERIAIS/GestaoControleMateriais_456h.docx,sistema/GESTAO_E_CONTROLE_MATERIAIS,1423796,.docx
Apostila_Exploracao_Carreiras_Industriais_Tecnologicas.docx,sistema/FICHA-PRODUTO-MAIS-TECH/EXPLORACAO_CARREIRAS_INDUSTRIAIS_TECNOLOGICAS/Apostila_Exploracao_Carreiras_Industriais_Tecnologicas.docx,sistema/FICHA-PRODUTO-MAIS-TECH/EXPLORACAO_CARREIRAS_INDUSTRIAIS_TECNOLOGICAS,1318819,.docx
AULAS-ATE-01-09-2026.pdf,sistema/FICHA-PRODUTO-MAIS-TECH/INTRODUCAO_COMUNICACAO_ORAL_ESCRITA/CEPLAS-VESPERTINO-2026-02/AULAS-ATE-01-09-2026.pdf,sistema/FICHA-PRODUTO-MAIS-TECH/INTRODUCAO_COMUNICACAO_ORAL_ESCRITA/CEPLAS-VESPERTINO-2026-02,1265594,.pdf
ATIVIDADE_EQUIPE_06_08_2026.pdf,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AULAS/AULA-04-06-08-2026/ATIVIDADE_EQUIPE_06_08_2026.pdf,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AULAS/AULA-04-06-08-2026,1135033,.pdf
AULA-01-Apresentação e Números Naturais e Inteiros.pdf,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/CHALKIE-AI/AULA-01-Apresentação e Números Naturais e Inteiros.pdf,sistema/GESTAO_E_CONTROLE_MATERIAIS/ANALISE_DADOS_APLICADA_GESTAO/AULAS/CHALKIE-AI,1111313,.pdf
GUIA_DA_EQUIPE_02.docx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES_CRIADAS/ENTREGAS-PROVA-PRATICA/EQUIPE_02/GUIA_DA_EQUIPE_02.docx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES_CRIADAS/ENTREGAS-PROVA-PRATICA/EQUIPE_02,1052370,.docx
INICIANDO_CHROMEBOOK_AULA_01.pdf,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AULAS/AULA-01-03-08-2026/INICIANDO_CHROMEBOOK_AULA_01.pdf,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AULAS/AULA-01-03-08-2026,1052048,.pdf
Dinamicas.docx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/Introdução a TIC-VICTOR-ANATO/Atividades/Dinamicas.docx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/Introdução a TIC-VICTOR-ANATO/Atividades,1015330,.docx
AULA-01-Tecnologia e Dispositivos Digitais no Cotidiano.pdf,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/AULAS/SLIDES-CHALKIE-AI/AULA-01-Tecnologia e Dispositivos Digitais no Cotidiano.pdf,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/AULAS/SLIDES-CHALKIE-AI,919290,.pdf
Checklist Prova Objetiva.docx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES/Checklist Prova Objetiva.docx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES,831804,.docx
Checklist Prova Objetiva.docx,sistema/PROFESSOR/TEMPLATES-PROVA-PRATICA-OBJETIVA/Checklist Prova Objetiva.docx,sistema/PROFESSOR/TEMPLATES-PROVA-PRATICA-OBJETIVA,831804,.docx
Prova Objetiva .docx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES/Prova Objetiva .docx,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES,813953,.docx
